Feature,Dimension,Dataset
TxPackets,M,UAVIDS-2025
RxPackets,M,UAVIDS-2025
LostPackets,M,UAVIDS-2025
TxBytes,M,UAVIDS-2025
RxBytes,M,UAVIDS-2025
TxPacketRate/s,M,UAVIDS-2025
RxPacketRate/s,M,UAVIDS-2025
TxByteRate/s,M,UAVIDS-2025
RxByteRate/s,M,UAVIDS-2025
PacketDropRate,M,UAVIDS-2025
Protocol,C,UAVIDS-2025
SrcPort,C,UAVIDS-2025
DstPort,C,UAVIDS-2025
FlowDuration/s,P,UAVIDS-2025
MeanDelay/s,P,UAVIDS-2025
MeanJitter/s,P,UAVIDS-2025
Throughput/Kbps,P,UAVIDS-2025
MeanPacketSize,P,UAVIDS-2025
AverageHopCount,P,UAVIDS-2025
